Elo Rank	Player	Age	Elo	    	hElo Rank	hElo	cElo Rank	cElo	gElo Rank	gElo	    	Peak Elo	Peak Month	    	ATP Rank	Log diff
108	Valentin Vacherot	26.4	1689.1		129	1606.5	92	1667.2	160	1523.8		1740.8	2024-03		237	-0.79
109	Pedro Martinez	28.0	1686.4		126	1611.3	87	1674.6	215	1479.1		1844.3	2022-04		48	0.82
110	Arthur Cazaux	22.7	1685.3		97	1650.8	181	1534.7	113	1571.1		1806.5	2024-02		113	-0.03
111	Damir Dzumhur	32.9	1685.2		113	1626.5	96	1661.6	100	1590.9		1895.8	2017-09		69	0.48
112	Zsombor Piros	25.5	1683.8		145	1585.1	94	1664.9	101	1590.8		1731.0	2023-04		160	-0.36
113	Soon Woo Kwon	27.3	1683.5		101	1646.6	134	1594.9	119	1565.8		1830.7	2023-01		501	-1.49
114	Nishesh Basavareddy	20.0	1682.8		73	1704.0	220	1485.3	142	1541.4		1856.6	2025-01		100	0.13
115	Rinky Hijikata	24.1	1681.3		93	1653.3	209	1503.2	103	1586.6		1744.9	2025-01		78	0.39
116	Arthur Rinderknech	29.8	1679.7		107	1636.4	106	1644.7	134	1546.0		1869.2	2022-10		75	0.44
117	Adam Walton	26.0	1675.5		108	1633.8	258	1449.2	133	1546.4		1747.1	2025-04		91	0.25
118	Filip Misolic	23.7	1675.5		144	1588.5	105	1645.0	189	1498.3		1720.3	2023-11		153	-0.26
119	Aleksandar Kovacevic	26.7	1673.8		92	1663.3	184	1529.1	161	1523.5		1758.8	2024-04		76	0.45
120	Luca Nardi	21.7	1673.3		115	1625.7	122	1617.8	203	1486.5		1724.6	2024-04		95	0.23
121	Yosuke Watanuki	27.0	1672.7		110	1631.7	124	1613.2	91	1603.0		1798.2	2023-05		183	-0.41
122	Andrea Vavassori	29.9	1669.5		105	1637.7	114	1631.5	153	1528.8		1734.8	2023-04		313	-0.94
123	Diego Schwartzman	32.4	1668.6		102	1643.9	99	1659.4	123	1561.5		1979.6	2020-11		516	-1.43
124	Brandon Holt	27.0	1668.6		106	1637.2	265	1445.5	154	1528.8		1725.5	2025-02		101	0.21
125	Emil Ruusuvuori	26.0	1667.3		103	1641.8	132	1604.4	87	1607.1		1893.2	2023-06		279	-0.80
126	Dino Prizmic	19.7	1665.2		135	1602.2	113	1634.5	156	1528.7		1719.0	2023-09		248	-0.68
127	Alexander Blockx	20.0	1662.8		117	1622.1	135	1593.8	150	1531.4		1743.2	2025-01		143	-0.12
128	Aleksandar Vukic	29.1	1659.5		114	1626.1	161	1560.8	77	1617.9		1773.3	2025-01		80	0.47
129	Nikoloz Basilashvili	33.1	1659.3		121	1617.9	125	1612.1	90	1603.9		1889.8	2019-01		133	-0.03
130	Juan Manuel Cerundolo	23.4	1658.0		201	1516.2	112	1634.6	224	1472.0		1774.8	2021-10		109	0.18
131	Aslan Karatsev	31.6	1657.3		119	1618.5	108	1643.8	174	1509.4		1964.6	2021-05		211	-0.48
132	Valentin Royer	23.9	1655.7		165	1556.4	110	1636.2	173	1509.5		1715.0	2025-04		120	0.10
133	Hugo Gaston	24.6	1655.4		120	1618.0	115	1628.3	112	1571.2		1795.1	2021-11		83	0.47
134	Roman Andres Burruchaga	23.2	1654.1		200	1516.5	116	1627.8	126	1560.2		1669.3	2024-05		118	0.13
135	Richard Gasquet	38.8	1651.6		124	1613.6	130	1609.4	98	1596.7		2059.5	2016-05		166	-0.21
136	Fabio Fognini	37.9	1651.3		147	1582.9	109	1640.4	76	1624.7		2003.8	2014-04		107	0.24
137	Marc Andrea Huesler	28.8	1649.7		112	1630.5	149	1579.3	118	1566.8		1817.0	2023-02		158	-0.14
138	Dalibor Svrcina	22.5	1649.3		109	1633.1	144	1585.5	199	1489.0		1712.9	2025-04		127	0.08
139	Lloyd Harris	28.1	1649.3		122	1617.2	198	1516.7	60	1647.0		1896.0	2021-10		227	-0.49
140	Facundo Bagnis	35.1	1641.9		186	1529.3	111	1634.8	347	1396.5		1737.0	2021-07		717	-1.63
141	Nicolas Moreno De Alboran	27.8	1640.9		118	1621.0	152	1574.7	169	1512.9		1687.7	2024-11		159	-0.12
142	Mattia Bellucci	23.9	1640.5		128	1608.0	180	1535.9	93	1601.5		1814.3	2024-10		68	0.74
143	Tomas Barrios Vera	27.4	1639.1		217	1503.2	117	1622.3	125	1561.0		1710.3	2023-07		110	0.26
144	Hugo Dellien	31.9	1637.5		214	1505.1	126	1611.3	210	1484.0		1779.8	2022-05		90	0.47
145	Leandro Riedi	23.2	1633.7		134	1602.5	177	1539.3	102	1590.7		1823.3	2023-01		370	-0.94
146	Alexander Shevchenko	24.4	1633.0		142	1589.6	142	1588.7	211	1483.5		1792.0	2024-02		103	0.35
147	Facundo Diaz Acosta	24.1	1632.7		181	1533.7	104	1646.1	237	1459.5		1791.9	2024-02		201	-0.31
148	Yannick Hanfmann	33.4	1632.4		146	1583.9	129	1610.7	146	1534.9		1843.4	2023-06		142	0.04
149	Emilio Nava	23.4	1631.5		197	1519.1	120	1619.7	191	1496.7		1713.5	2025-04		137	0.08
150	Carlos Taberner	27.7	1629.9		247	1463.9	128	1610.9	233	1463.6		1725.0	2021-10		129	0.15
151	Matteo Gigante	23.3	1629.7		153	1576.7	148	1580.0	147	1534.9		1644.9	2025-04		167	-0.10
152	Pierre Hugues Herbert	34.1	1629.1		125	1613.3	166	1551.6	120	1565.1		1867.9	2019-06		147	0.03
153	Kyrian Jacquet	23.9	1627.8		116	1622.9	165	1554.5	200	1488.8		1735.1	2025-02		150	0.02
154	Harold Mayot	23.2	1624.1		157	1570.0	145	1582.5	105	1585.9		1701.9	2024-06		151	0.02
155	Michael Mmoh	27.2	1623.7		133	1602.8	208	1505.9	157	1528.7		1762.3	2017-02		343	-0.79
156	Liam Draxl	23.3	1622.9		143	1588.9	164	1556.8	172	1511.5		1653.0	2025-03		146	0.07
157	Felipe Meligeni Alves	27.2	1622.3		222	1494.4	119	1619.9	111	1573.3		1695.3	2023-10		134	0.16
158	Thiago Seyboth Wild	25.1	1622.1		136	1599.3	138	1592.0	143	1540.1		1793.4	2024-05		117	0.30
159	Luca Van Assche	20.9	1620.3		140	1589.9	139	1591.2	162	1523.4		1801.5	2023-04		178	-0.11
160	Jaime Faria	21.7	1619.9		184	1532.8	131	1606.8	218	1476.5		1692.5	2024-05		115	0.33
161	Christopher Eubanks	28.9	1619.7		155	1574.5	229	1475.9	79	1617.3		1864.8	2023-07		105	0.43
162	Tristan Schoolkate	24.2	1619.0		138	1597.6	342	1374.3	158	1526.7		1680.4	2025-04		128	0.24
163	Jerome Kym	22.2	1618.3		160	1564.1	146	1580.7	175	1509.2		1738.0	2024-10		126	0.26
164	James Duckworth	33.3	1618.1		154	1576.7	194	1519.3	99	1594.0		1785.9	2021-11		92	0.58
165	Otto Virtanen	23.8	1617.8		151	1579.8	202	1513.7	117	1567.6		1768.8	2024-03		114	0.37
166	Alibek Kachmazov	22.7	1612.4		148	1582.3	236	1467.0	127	1556.2		1637.6	2025-04		169	-0.02
167	Daniel Elahi Galan	28.8	1609.9		174	1542.4	150	1577.0	115	1570.0		1757.5	2022-09		122	0.31
168	Federico Coria	33.1	1609.0		229	1485.2	136	1593.8	327	1406.2		1754.4	2021-07		141	0.18
169	Arthur Bouquier	24.3	1608.6		127	1609.3	324	1389.2	183	1504.3		1732.0	2025-03		208	-0.21
170	Thiago Monteiro	30.9	1605.8		162	1560.9	137	1593.1	184	1502.7		1748.2	2024-05		131	0.26
171	Hady Habib	26.7	1601.9		170	1550.0	175	1540.7	129	1550.9		1625.0	2025-05		165	0.04
172	Daniel Evans	34.9	1601.2		139	1596.2	185	1528.5	107	1583.0		1902.5	2021-04		213	-0.21
173	Giulio Zeppieri	23.4	1599.8		150	1579.8	170	1549.2	188	1498.4		1691.2	2022-07		310	-0.58
174	Titouan Droguet	23.8	1599.8		185	1530.1	140	1589.8	145	1538.8		1666.7	2024-09		234	-0.30
175	Chris Rodesch	23.7	1598.4		218	1502.7	153	1574.3	186	1499.2		1626.4	2025-05		172	0.02
176	Eliot Spizzirri	23.3	1596.9		131	1605.3	219	1486.3	181	1506.4		1714.6	2025-04		116	0.42
177	Pavel Kotov	26.4	1596.8		163	1559.0	158	1566.6	167	1516.0		1797.1	2024-05		157	0.12
178	Lukas Klein	27.1	1594.9		152	1578.0	172	1543.5	137	1545.2		1777.5	2024-03		190	-0.07
179	Mikhail Kukushkin	37.3	1593.6		172	1544.7	163	1557.9	116	1567.9		1864.2	2010-10		163	0.09
180	Maximilian Marterer	29.6	1590.7		182	1533.7	147	1580.4	128	1551.5		1815.1	2018-06		239	-0.28
181	Andrea Pellegrino	28.1	1590.7		305	1403.1	159	1564.8	293	1428.1		1637.7	2023-10		173	0.05
182	Adrian Mannarino	36.8	1590.3		149	1581.4	233	1468.9	94	1600.2		1896.3	2018-01		130	0.34
183	Mark Lajal	21.9	1589.7		166	1556.3	205	1509.6	88	1605.6		1668.0	2023-06		199	-0.08
184	Chun Hsin Tseng	23.7	1589.6		204	1510.4	151	1576.8	276	1435.9		1715.6	2022-04		94	0.67
185	J J Wolf	26.1	1586.4		169	1551.2	171	1546.3	155	1528.8		1847.7	2023-02		355	-0.65
186	Tristan Boyer	24.0	1583.7		158	1569.4	174	1540.9	225	1471.9		1753.1	2025-01		119	0.45
187	Constant Lestienne	32.9	1583.7		171	1544.8	261	1446.3	213	1480.8		1781.3	2023-01		184	0.02
188	Thiago Agustin Tirante	24.0	1583.3		168	1554.7	173	1543.5	187	1498.5		1672.2	2021-09		132	0.35
189	Guy Den Ouden	23.0	1582.9		385	1334.9	141	1588.9	194	1491.4		1605.9	2025-05		187	0.01
190	Kyle Edmund	29.8	1582.6		161	1563.7	155	1572.0	177	1508.4		1952.7	2019-03		466	-0.90
191	Elias Ymer	29.1	1582.4		193	1521.0	160	1561.9	148	1534.1		1751.8	2015-06		260	-0.31
192	Gustavo Heide	22.9	1581.7		263	1454.0	156	1571.6	235	1460.3		1661.1	2024-07		194	-0.01
193	Luka Pavlovic	25.0	1581.4		358	1360.0	157	1568.8	196	1490.7		1621.4	2025-04		216	-0.11
194	Martin Landaluce	19.3	1578.5		159	1566.4	197	1517.0	198	1489.2		1741.8	2024-10		145	0.29
