name,country,gender,source_file,rank,matches,match_win_pct,service_points_won_pct,aces,ace_pct,double_faults,double_fault_pct,first_serve_in_pct,first_serve_win_pct,second_serve_win_pct,hold_pct,points_per_service_game,points_lost_per_service_game,source_files
Roman Safiullin,RUS,M,atp2.tsv,72.0,,40.5,64.6,265.0,8.6,106.0,3.4,63.5,72.7,50.4,79.2,6.3,2.2,atp2.tsv
Varvara Gracheva,FRA,W,wta2.tsv,72.0,,35.5,54.3,51.0,2.3,112.0,5.0,62.0,60.3,44.4,60.2,6.7,3.1,wta2.tsv
Alexandra Eala,PHI,W,wta2.tsv,73.0,,41.7,50.9,14.0,1.7,34.0,4.0,68.2,54.0,44.2,51.6,6.9,3.4,wta2.tsv
Corentin Moutet,FRA,M,atp2.tsv,73.0,,40.0,59.5,74.0,3.0,70.0,2.9,64.5,64.7,50.1,71.9,6.7,2.7,atp2.tsv
Hamad Medjedovic,SRB,M,atp2.tsv,74.0,,54.2,67.6,186.0,10.4,59.0,3.3,67.4,74.9,52.5,85.7,6.2,2.0,atp2.tsv
Renata Zarazua,MEX,W,wta2.tsv,74.0,,40.0,54.7,14.0,0.9,43.0,2.8,74.4,56.5,49.6,60.5,6.7,3.0,wta2.tsv
Arthur Rinderknech,FRA,M,atp2.tsv,75.0,,41.3,65.2,479.0,13.5,126.0,3.5,63.2,75.4,47.7,81.5,6.4,2.2,atp2.tsv
Victoria Azarenka,BLR,W,wta2.tsv,75.0,,51.9,56.3,66.0,3.9,118.0,6.9,60.4,65.2,42.6,63.1,6.5,2.8,wta2.tsv
Aleksandar Kovacevic,USA,M,atp2.tsv,76.0,,37.9,65.2,260.0,11.4,91.0,4.0,58.4,75.6,50.5,83.2,6.4,2.2,atp2.tsv
Zeynep Sonmez,TUR,W,wta2.tsv,76.0,,57.1,53.5,17.0,1.1,90.0,5.8,60.3,60.1,43.5,59.5,7.0,3.2,wta2.tsv
Greet Minnen,BEL,W,wta2.tsv,77.0,,48.4,57.4,86.0,3.8,134.0,5.9,62.5,64.8,45.2,67.3,6.7,2.9,wta2.tsv
Yoshihito Nishioka,JPN,M,atp2.tsv,77.0,,58.8,64.8,93.0,4.0,44.0,1.9,63.4,69.3,57.0,81.0,6.3,2.2,atp2.tsv
Rinky Hijikata,AUS,M,atp2.tsv,78.0,,37.1,58.3,123.0,4.6,93.0,3.5,60.4,66.1,46.4,68.7,6.5,2.7,atp2.tsv
Viktorija Golubic,SUI,W,wta2.tsv,78.0,,38.5,52.6,10.0,0.6,59.0,3.4,70.7,56.8,42.6,55.9,6.7,3.2,wta2.tsv
Tatjana Maria,GER,W,wta2.tsv,79.0,,25.9,53.1,82.0,4.6,72.0,4.0,56.4,60.9,43.0,56.6,6.7,3.2,wta2.tsv
Zhizhen Zhang,CHN,M,atp2.tsv,79.0,,39.5,66.5,309.0,11.2,66.0,2.4,65.4,73.9,52.5,83.7,6.2,2.1,atp2.tsv
Aleksandar Vukic,AUS,M,atp2.tsv,80.0,,48.8,65.3,451.0,12.4,94.0,2.6,60.7,75.1,50.3,83.1,6.5,2.2,atp2.tsv
Elena Gabriela Ruse,ROU,W,wta2.tsv,80.0,,47.6,55.4,64.0,4.4,108.0,7.4,55.9,64.8,43.6,65.0,6.4,2.9,wta2.tsv
Cameron Norrie,GBR,M,atp2.tsv,81.0,,51.3,64.0,202.0,6.4,81.0,2.6,67.0,70.3,51.0,80.3,6.5,2.4,atp2.tsv
Yuliia Starodubtseva,UKR,W,wta2.tsv,81.0,,47.6,55.3,29.0,1.9,41.0,2.7,65.8,60.1,46.1,64.3,7.0,3.1,wta2.tsv
Anna Bondar,HUN,W,wta2.tsv,82.0,,28.6,56.5,110.0,6.9,68.0,4.3,57.5,64.4,45.8,65.7,6.7,2.9,wta2.tsv
Christopher Oconnell,AUS,M,atp2.tsv,82.0,,40.5,63.2,238.0,8.5,70.0,2.5,59.8,70.9,51.7,79.7,6.5,2.4,atp2.tsv
Bernarda Pera,USA,W,wta2.tsv,83.0,,43.8,58.0,146.0,6.5,169.0,7.5,58.7,67.5,44.6,69.7,6.8,2.8,wta2.tsv
Hugo Gaston,FRA,M,atp2.tsv,83.0,,40.6,59.3,98.0,3.9,69.0,2.7,54.9,67.0,50.0,71.4,6.6,2.7,atp2.tsv
Mayar Sherif,EGY,W,wta2.tsv,84.0,,28.6,54.4,58.0,3.6,54.0,3.3,69.9,59.6,42.4,60.6,7.0,3.2,wta2.tsv
Raphael Collignon,BEL,M,atp2.tsv,84.0,,14.3,61.2,32.0,6.7,43.0,9.0,65.8,70.1,44.2,76.4,6.6,2.6,atp2.tsv
Borna Coric,CRO,M,atp2.tsv,85.0,,33.3,63.5,138.0,9.7,53.0,3.7,59.6,72.2,50.5,77.5,6.4,2.3,atp2.tsv
Emiliana Arango,COL,W,wta2.tsv,85.0,,40.0,52.3,6.0,0.6,58.0,5.6,69.1,57.7,40.1,56.9,7.2,3.5,wta2.tsv
Kamilla Rakhimova,RUS,W,wta2.tsv,86.0,,36.0,54.6,45.0,2.7,75.0,4.4,57.7,59.8,47.5,61.4,6.5,3.0,wta2.tsv
Vit Kopriva,CZE,M,atp2.tsv,86.0,,40.0,56.7,23.0,3.0,35.0,4.6,60.8,62.8,47.3,67.0,7.0,3.0,atp2.tsv
Jan Lennard Struff,GER,M,atp2.tsv,87.0,,44.7,65.3,378.0,11.6,167.0,5.1,58.6,76.0,50.2,81.7,6.5,2.2,atp2.tsv
Yue Yuan,CHN,W,wta2.tsv,87.0,,39.5,55.7,88.0,3.3,62.0,2.3,60.2,62.4,45.5,62.8,6.6,2.9,wta2.tsv
Anca Alexia Todoni,ROU,W,wta2.tsv,88.0,,30.0,57.8,23.0,4.9,15.0,3.2,60.4,64.2,48.1,67.2,7.0,2.9,wta2.tsv
Jesper De Jong,NED,M,atp2.tsv,88.0,,50.0,64.1,61.0,8.6,22.0,3.1,57.5,74.3,50.3,80.2,6.4,2.3,atp2.tsv
Botic Van De Zandschulp,NED,M,atp2.tsv,89.0,,38.2,61.4,161.0,5.9,155.0,5.7,62.0,71.5,44.9,75.8,6.6,2.5,atp2.tsv
Elisabetta Cocciaretto,ITA,W,wta2.tsv,89.0,,34.4,54.8,41.0,1.9,95.0,4.4,66.7,59.8,44.7,61.2,6.7,3.0,wta2.tsv
Hugo Dellien,BOL,M,atp2.tsv,90.0,,42.9,61.5,17.0,3.0,7.0,1.3,70.3,64.5,54.2,75.3,6.6,2.5,atp2.tsv
Maria Sakkari,GRE,W,wta2.tsv,90.0,,42.4,56.3,88.0,4.2,114.0,5.5,62.0,64.4,43.1,65.5,6.6,2.9,wta2.tsv
Adam Walton,AUS,M,atp2.tsv,91.0,,31.8,64.5,143.0,8.4,45.0,2.7,64.9,71.9,50.7,80.6,6.2,2.2,atp2.tsv
Olivia Gadecki,AUS,W,wta2.tsv,91.0,,29.4,55.6,38.0,3.6,74.0,7.1,62.7,62.5,44.0,63.4,6.5,2.9,wta2.tsv
Irina Camelia Begu,ROU,W,wta2.tsv,92.0,,29.4,54.2,31.0,2.7,59.0,5.1,63.7,58.3,47.0,59.0,6.5,3.0,wta2.tsv
James Duckworth,AUS,M,atp2.tsv,92.0,,25.0,63.0,118.0,7.2,55.0,3.4,58.7,71.3,51.3,80.5,6.5,2.4,atp2.tsv
Diane Parry,FRA,W,wta2.tsv,93.0,,51.5,59.2,148.0,6.4,87.0,3.8,58.5,66.3,49.1,71.0,6.7,2.7,wta2.tsv
Reilly Opelka,USA,M,atp2.tsv,93.0,,51.4,69.1,598.0,20.9,124.0,4.3,64.3,79.0,51.2,88.7,6.3,2.0,atp2.tsv
Arantxa Rus,NED,W,wta2.tsv,94.0,,34.5,56.0,86.0,4.5,104.0,5.5,68.4,61.5,44.1,64.9,6.6,2.9,wta2.tsv
Chun Hsin Tseng,TPE,M,atp2.tsv,94.0,,28.6,61.1,37.0,4.7,17.0,2.2,57.9,67.0,52.9,74.8,6.6,2.6,atp2.tsv
Dalma Galfi,HUN,W,wta2.tsv,95.0,,50.0,59.1,34.0,6.6,20.0,3.9,67.6,63.7,49.4,70.5,6.6,2.7,wta2.tsv
Luca Nardi,ITA,M,atp2.tsv,95.0,,28.6,56.7,57.0,3.4,91.0,5.5,58.6,66.5,42.8,66.8,7.0,3.0,atp2.tsv
Kamil Majchrzak,POL,M,atp2.tsv,96.0,,50.0,67.2,27.0,6.2,9.0,2.1,64.7,74.6,53.6,82.2,5.9,1.9,atp2.tsv
Marketa Vondrousova,CZE,W,wta2.tsv,96.0,,45.5,55.6,62.0,8.9,66.0,9.5,52.6,67.0,42.9,65.0,6.8,3.0,wta2.tsv
Jil Teichmann,SUI,W,wta2.tsv,97.0,,33.3,55.1,24.0,3.7,27.0,4.1,63.9,61.6,43.6,63.9,6.7,3.0,wta2.tsv
Mariano Navone,ARG,M,atp2.tsv,97.0,,34.8,59.8,124.0,3.6,101.0,2.9,63.4,65.1,50.7,72.2,6.6,2.7,atp2.tsv
Cristina Bucsa,ESP,W,wta2.tsv,98.0,,43.3,54.2,40.0,1.7,116.0,5.0,64.6,59.1,45.3,61.2,7.1,3.3,wta2.tsv
Mackenzie Mcdonald,USA,M,atp2.tsv,98.0,,45.0,61.3,88.0,5.4,47.0,2.9,65.3,66.0,52.3,74.6,6.4,2.5,atp2.tsv
Bianca Andreescu,CAN,W,wta2.tsv,99.0,,52.0,58.7,59.0,3.6,65.0,3.9,67.5,64.2,47.4,69.8,6.5,2.7,wta2.tsv
Pablo Carreno Busta,ESP,M,atp2.tsv,99.0,,42.3,64.4,93.0,4.8,58.0,3.0,64.4,70.6,53.2,79.9,6.3,2.2,atp2.tsv
Leolia Jeanjean,FRA,W,wta2.tsv,100.0,,50.0,57.9,12.0,2.1,35.0,6.2,61.1,62.9,50.0,67.8,6.5,2.7,wta2.tsv
Nishesh Basavareddy,USA,M,atp2.tsv,100.0,,33.3,62.3,55.0,6.0,30.0,3.3,61.2,71.5,47.8,77.2,6.3,2.4,atp2.tsv
Average,,M,atp.tsv,,,50.8875,58.537499999999994,,4.9375,,4.75,62.425,65.525,46.9625,69.225,6.6,2.75,"atp.tsv, atp2.tsv, wta.tsv, wta2.tsv"
